scenario,allocated_qty,total_margin,avg_unit_margin
Base,6732.061111111111,10511127.18548692,1561.3535011051144
DemandPlus10,7247.500555555556,10932420.876725985,1508.4401571167539
DemandMinus10,6058.855,9978847.45224972,1646.985684960231
CostPlus5,6732.061111111111,9821920.956731603,1458.9767969457005
CostMinus5,6732.061111111111,11200333.414242238,1663.7302052645284
PricePlus5,6732.061111111111,11725889.773516582,1741.7978803197839
PriceMinus5,6732.061111111111,9296364.597457258,1380.909121890445
